SubmissionID,StudentID,Problem,Status,Score,CodeLength,SubmissionTime
43247,97,4,Accepted,30,1231,11:00:44
43246,91,1,Accepted,30,239,11:00:19
43245,84,4,Wrong Answer,16,1514,11:00:12
43244,48,4,Wrong Answer,28,944,11:00:12
43243,36,4,Accepted,30,1273,11:00:12
43242,62,4,Wrong Answer,24,1006,10:59:59
43241,35,3,Accepted,30,607,10:59:57
43240,103,4,Wrong Answer,16,1377,10:59:50
43239,40,4,Accepted,30,1535,10:59:49
43238,8,3,Accepted,30,537,10:59:39
43237,105,3,Wrong Answer,10,933,10:59:39
43236,77,4,Runtime Error,8,1936,10:59:29
43235,117,4,Accepted,30,675,10:58:44
43234,79,3,Wrong Answer,24,275,10:58:40
43233,84,4,Runtime Error,0,1489,10:58:25
43232,48,4,Wrong Answer,20,876,10:58:06
43231,25,3,Runtime Error,24,275,10:57:28
43230,12,4,Wrong Answer,12,1305,10:57:21
43229,93,4,Accepted,30,2062,10:57:19
43228,19,1,Accepted,30,392,10:57:05
43227,65,3,Accepted,30,646,10:56:58
43226,79,3,Wrong Answer,24,263,10:56:39
43225,27,3,Accepted,30,679,10:56:37
43224,97,4,Runtime Error,0,1175,10:56:25
43223,93,4,Wrong Answer,30,2060,10:55:50
43222,46,4,Wrong Answer,12,1515,10:55:44
43221,116,4,Runtime Error,22,3113,10:55:29
43220,62,4,Wrong Answer,22,1005,10:55:26
43219,48,4,Wrong Answer,14,793,10:55:17
43218,93,4,Runtime Error,0,1980,10:55:07
43217,50,3,Wrong Answer,24,177,10:54:52
43216,46,4,Wrong Answer,0,1830,10:54:46
43215,97,4,Runtime Error,0,1191,10:54:40
43214,93,4,Runtime Error,0,1981,10:54:24
43213,3,3,Accepted,30,993,10:53:29
43212,88,3,Wrong Answer,24,306,10:53:28
43211,94,4,Wrong Answer,28,884,10:53:24
43210,25,3,Runtime Error,20,275,10:53:22
43209,25,3,Runtime Error,20,276,10:52:45
43208,94,4,Wrong Answer,0,862,10:52:33
43207,34,4,Accepted,30,771,10:52:32
43206,40,4,Wrong Answer,0,1424,10:52:05
43205,63,3,Wrong Answer,24,1118,10:51:50
43204,26,3,Accepted,30,969,10:50:59
43203,83,3,Accepted,30,408,10:50:42
43202,77,4,Runtime Error,4,1828,10:50:33
43201,63,3,Runtime Error,20,1125,10:50:23
43200,72,4,Accepted,30,999,10:50:15
43199,88,3,Wrong Answer,24,354,10:50:02
43198,63,3,Runtime Error,20,1132,10:49:37
43197,105,3,Wrong Answer,6,590,10:49:28
43196,34,4,Wrong Answer,14,724,10:49:21
43195,56,4,Accepted,30,927,10:49:20
43194,31,3,Runtime Error,0,542,10:49:16
43193,48,4,Wrong Answer,10,744,10:48:37
43192,1,3,Accepted,30,1234,10:48:17
43191,54,3,Accepted,30,598,10:48:06
43190,32,4,Accepted,30,1399,10:47:38
43189,110,4,Accepted,30,1026,10:47:32
43188,34,4,Wrong Answer,14,737,10:47:30
43187,25,3,Runtime Error,20,248,10:47:30
43186,53,1,Accepted,30,259,10:47:18
43185,53,1,Accepted,30,259,10:47:17
43184,39,4,Runtime Error,0,1817,10:47:06
43183,30,4,Wrong Answer,28,1438,10:47:05
43182,48,4,Wrong Answer,10,689,10:46:55
43181,77,4,Wrong Answer,0,1808,10:46:53
43180,63,3,Runtime Error,18,1076,10:46:39
43179,77,4,Wrong Answer,0,1752,10:45:58
43178,25,3,Runtime Error,20,248,10:45:42
43177,15,2,Wrong Answer,32,854,10:45:23
43176,91,3,Accepted,30,396,10:45:08
43175,53,4,Accepted,30,773,10:45:07
43174,25,3,Wrong Answer,12,241,10:44:58
43173,91,3,Wrong Answer,0,397,10:44:43
43172,86,3,Wrong Answer,4,100,10:43:44
43171,110,4,Runtime Error,4,983,10:43:17
43170,97,4,Runtime Error,0,1173,10:43:13
43169,16,3,Accepted,30,936,10:43:09
43168,43,4,Accepted,30,2056,10:43:07
43167,25,3,Compile Error,0,240,10:42:50
43166,30,4,Wrong Answer,0,1447,10:42:47
43165,84,3,Wrong Answer,20,9223,10:42:39
43164,116,4,Runtime Error,2,2234,10:42:27
43163,67,3,Wrong Answer,18,228,10:42:04
43162,69,1,Accepted,30,249,10:41:29
43161,87,1,Accepted,30,321,10:41:22
43160,111,4,Accepted,30,733,10:40:47
43159,19,4,Accepted,30,867,10:40:25
43158,84,3,Wrong Answer,20,9302,10:39:17
43157,116,4,Runtime Error,0,2363,10:39:03
43156,39,1,Accepted,30,423,10:38:43
43155,12,3,Accepted,30,282,10:37:48
43154,44,1,Accepted,30,356,10:37:03
43153,19,4,Wrong Answer,16,810,10:37:00
